Achievement,In-game description,Prerequisites,Actual requirements,Version restriction,Xbox points earned,Trophy type,Internal Id
Into The Nether,Acquire Hardware,Light a nether portal.,Xbox & PS,40G,Silver,N/A,,
Awarded All Trophies,All trophies have been awarded.,All others,Automatically obtained when all other trophies have been obtained,PS,N/A,Platinum,N/A,
Getting Wood,Attack a tree until a block of wood pops out,Taking Inventory,Pick up wood from the ground.,None,10G,Bronze,mineWood,
Monster Hunter,Attack and destroy a monster,Time to Strike!,"Kill a hostile mob or one of the following neutral mobs: enderman, zombie pigman, spider, cave spider.",None,20G,Bronze,killEnemy,
Leader Of The Pack,Befriend five Wolves.,Monster Hunter,"This does not have to be in a single game, so multiple games or reloading old saves does count toward this achievement.",Xbox & PS,30G,Silver,N/A,
Repopulation,Breed two cows with wheat,Cow Tipper,Breed two cows or two mooshrooms.,"PC, Xbox & PS4",15G,Bronze,breedCow,
Local Brewery,Brew a potion,Into Fire,Pick up a potion from a brewing stand potion slot. An already-created potion placed and removed qualifies.,None,15G,Silver,potion,
Overpowered,Build a Notch apple,Getting an Upgrade,Pick up an enchanted golden apple from a crafting table output.,PC,N/A,N/A,overpowered,
We Need to Go Deeper,Build a portal to the Nether,DIAMONDS!,Enter a nether portal.,PC,N/A,N/A,portal,
Librarian,Build some bookshelves to improve your enchantment table,Enchanter,Pick up a bookshelf from a crafting table output.,PC & Xbox,20G,N/A,bookcase,
Delicious Fish,Catch and cook a fish!,Hot Topic,Pick up a cooked fish from a furnace output.,None,15G,Silver,cookFish,
Getting an Upgrade,Construct a better pickaxe,Time to Mine!,Pick up a pickaxe from a crafting table output that is not a wooden pickaxe.,None,15G,Bronze,buildBetterPickaxe,
Dispense With This,Construct a Dispenser.,Acquire Hardware,,Xbox & PS,20G,Silver,N/A,
Hot Topic,Construct a furnace out of eight stone blocks,Time to Mine!,Pick up a furnace from a crafting table output. The description has the wrong recipe; furnaces are actually crafted from cobblestone.,None,15G,Bronze,buildFurnace,
MOAR Tools,"Construct one type of each tool (one pickaxe, one shovel, one axe and one hoe).",Benchmarking,,Xbox & PS,15G,Bronze,N/A,
Pork Chop,Cook and eat a pork chop.,None,,Xbox & PS4,10G,Bronze,N/A,
Benchmarking,Craft a workbench with four blocks of planks,Getting Wood,Pick up a crafting table from your inventory's crafting field output or a crafting table output.,None,10G,Bronze,buildWorkBench,
Pot Planter,Craft and place a Flower Pot.,None,,Xbox & PS4,15G,Bronze,N/A,
It's a Sign!,Craft and place a Sign.,None,,Xbox & PS4,15G,Bronze,N/A,
Beaconator,Create a full beacon,The Beginning.,Be within a 20_20_14 cuboid centered on the pyramid when the beacon block realizes it is fully powered.,PC,N/A,N/A,fullBeacon,
Body Guard,Create an Iron Golem.,None,,Xbox & PS4,20G,Bronze,N/A,
Zombie Doctor,Cure a zombie villager.,None,Throw a splash potion of weakness at a zombie villager and give it a golden apple (by facing the zombie and pressing the left trigger with a golden apple in your hand),Xbox & PS4,40G,Gold,N/A,
Overkill,Deal nine hearts of damage in a single hit,Enchanter,"Damage can be dealt to any mob, even those that do not have nine hearts of health overall.","PC, Xbox & PS4",30G,N/A,overkill,
The End.,Defeat the Ender Dragon,The End?,Enter the end exit portal while in the End.,None,40G,Gold,theEnd2,
Return to Sender,Destroy a Ghast with a fireball,We Need to Go Deeper,Kill a ghast using a ghast fireball.,PC,N/A,N/A,ghast,
Adventuring Time,Discover all biomes,The End?,"Visit these 36 biomes. Other biomes may also be visited, but are ignored for the achievement. Biomes are counted as visited even before The End? is achieved.[2]",PC,N/A,N/A,exploreAllBiomes,
When Pigs Fly,Fly a pig off a cliff,Cow Tipper,Be riding a pig (e.g. using a saddle) when it hits the ground with a fall distance greater than 5.,None,40G,Gold,flyPig,
Rainbow Collection,Gather all 16 colours of wool.,None,,Xbox & PS4,30G,Sliver,N/A,
Cow Tipper,Harvest some leather,Time to Strike!,Pick up leather from the ground.,None,15G,Bronze,killCow,
Achievement,In-game description,Prerequisites,Actual requirements (if different),Version restriction,Xbox points earned,Trophy type (PS),Internal Id (PC),
Archer,Kill a creeper with arrows.,None,,Xbox & PS4,10G,Bronze,N/A,
Sniper Duel,Kill a skeleton with an arrow from more than 50 meters,Monster Hunter,"Use a launched arrow to kill a skeleton or wither skeleton from 50 or more blocks away, horizontally.",None,30G,Silver,snipeSkeleton,
The Beginning.,Kill the Wither,The Beginning?,Be within a 100.9_100.9_203.5 cuboid centered on the Wither when it drops the nether star.,PC,N/A,N/A,killWither,
The End?,Locate the End,Into Fire,Enter an end portal.,None,20G,Gold,theEnd,
Chestful of Cobblestone,"Mine 1,728 Cobblestone and place it in a chest",None,"A player must mine 1,728 cobblestone and place 1,728 cobblestone, or 27 stacks, in a chest. The cobblestone placed in the chest does not have to be the same cobblestone that was mined.",Xbox & PS4,20G,Bronze,N/A,
The Haggler,Mine or purchase 30 Emeralds.,None,You can do this in different worlds.,Xbox & PS4,30G,Sliver,N/A,
Music to my Ears,Play a music disc in a Jukebox.,None,,Xbox & PS4,20G,Bronze,N/A,
Passing the Time,Play for 100 days.,None,"Play for 100 Minecraft days, which is equivalent to 33 hours in real time.",Xbox & PS4,20G,Bronze,N/A,
Taking Inventory,Press 'E' to open your inventory.,None,Open your inventory. The description will match the configured inventory key.,None,10G,Bronze,openInventory,
Into Fire,Relieve a Blaze of its rod,We Need to Go Deeper,Pick up a blaze rod from the ground.,PC,N/A,N/A,blazeRod,
Acquire Hardware,Smelt an iron ingot,Hot Topic,Pick up an iron ingot from a furnace output.,None,15G,Silver,acquireIron,
Renewable Energy,Smelt wood trunks using charcoal to make more charcoal.,None,,Xbox & PS4,10G,Bronze,N/A,
The Beginning?,Spawn the Wither,The End.,Be within a 100.9_100.9_103.5 cuboid centered on the Wither when it is spawned.,PC,N/A,N/A,spawnWither,
Iron Belly,Stop starvation using Rotten Flesh,None,Eat a piece of rotten flesh.,Xbox & PS4,20G,Bronze,N/A,
Stayin' Frosty,Swim in lava while having the Fire Resistance effect.,None,,Xbox & PS4,20G,Bronze,N/A,
Lion Tamer,Tame an Ocelot,None,,Xbox & PS4,15G,Bronze,N/A,
Diamonds to you!,Throw diamonds at another player.,DIAMONDS!,Drop a diamond. Another player or a mob must then pick up this diamond.,"PC, Xbox & PS4",15G,Bronze,diamondsToYou,
On A Rail,Travel by minecart at least 1 km from where you started,Acquire Hardware,Travel by minecart to a point at least 1 km from where you started. Distance is measured in a straight line.,PC,N/A,N/A,onARail,
Travel by minecart to a point at least 500m in a single direction from where you started.,Travel by minecart to a point at least 500 m from where you started. Distance is measured in a straight line.,Xbox & PS,40G,Gold,N/A,,,
Bake Bread,Turn wheat into bread,Time to Farm!,Pick up bread from a crafting table output.,None,20G,Silver,makeBread,
Enchanter,"Use a book, obsidian and diamonds to construct an enchantment table",DIAMONDS!,Pick up an enchantment table from a crafting table output.,None,20G,Silver,enchantments,
Time to Farm!,Use planks and sticks to make a hoe,Benchmarking,Pick up any type of hoe from a crafting table output.,None,10G,Bronze,buildHoe,
Time to Mine!,Use planks and sticks to make a pickaxe,Benchmarking,Pick up any type of pickaxe from a crafting table output.,None,10G,Bronze,buildPickaxe,
Time to Strike!,Use planks and sticks to make a sword,Benchmarking,Pick up any type of sword from a crafting table output.,None,10G,Bronze,buildSword,
Have a Shearful Day,Use Shears to obtain wool from a sheep.,None,,Xbox & PS4,15G,Bronze,N/A,
Discover 17 of the 23 different biomes,Visit these 17 biomes.,Xbox,40G,N/A,,,,
Iron Man,Wear a full suit of Iron Armour.,None,,Xbox & PS4,15G,Bronze,N/A,
The Lie,"Wheat, sugar, milk, and eggs",Time to Farm!,Pick up a cake from a crafting table output.,PC,N/A,N/A,bakeCake,
"Bake cake using wheat, sugar, milk, and eggs!",Xbox & PS,40G,Silver,N/A,,,,
Into The Nether,Xbox & PS,30G,Gold,N/A,,,,
Into The Nether,Xbox & PS,20G,Silver,N/A,,,,
